office_name,office_category,zone_name,address,city,state,postal_code,latitude,longitude,confidence,score,provider,query_type,query,verification_notes
"District Office, D.O - MOGA",D.O - MOGA,Punjab & Himachal Pradesh,"EPFO, Plot No. 19,, Lal Bahadur Shastri Complex,G.T. Road,, Moga (Punjab) - 142001",Moga (Punjab),,142001,30.817557,75.176433,very_low,0.354,nominatim,postal_code,"142001, India",string_similarity=0.25; token_overlap=0.27; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - SANGRUR",D.O - SANGRUR,Punjab & Himachal Pradesh,"EPFO, 13 ,, Kaula park,, Sangrur (Punjab) - 148001",Sangrur (Punjab),,148001,30.244859,75.843709,low,0.474,nominatim,city_only,"Sangrur (Punjab), India",string_similarity=0.48; token_overlap=0.43; city_mismatch; postal_match; within_india_bounds
"Regional Office, CHANDIGARH",CHANDIGARH,Punjab & Himachal Pradesh,"S.C.O. 4-7,, Sector 17-D,, Chandigarh. - 160017",Chandigarh.,Chandigarh,160017,30.743665,76.782256,very_low,0.387,photon,full_address,"S.C.O. 4-7,, Sector 17-D,, Chandigarh. - 160017",string_similarity=0.41; token_overlap=0.17; city_mismatch; state_match; postal_missing; within_india_bounds
"District Office, D.O - MANDI GOBINDGARH",D.O - MANDI GOBINDGARH,Punjab & Himachal Pradesh,"Complex No. 326, Sector-21C,, Amloh Road, Mandi Gobindgarh - 147301",Mandi Gobindgarh,,147301,30.669338,76.297468,medium,0.639,nominatim,city_only,"Mandi Gobindgarh, India",string_similarity=0.43; token_overlap=0.56; city_match; postal_match; within_india_bounds
"District Office, D.O - PATIALA",D.O - PATIALA,Punjab & Himachal Pradesh,"B-155,, Azad Nagar,, Patiala, Punjab - 147004","Patiala, Punjab",,147004,30.364454,76.379023,medium,0.657,nominatim,postal_code,"147004, India",string_similarity=0.52; token_overlap=0.50; city_match; postal_match; within_india_bounds
"Regional Office, JALANDHAR",JALANDHAR,Punjab & Himachal Pradesh,"EPFO,Regional Office,, Master Tara Singh Nagar, Ladowali Road,, Jalandhar, - 144001",Jalandhar,,144001,31.318061,75.577867,low,0.525,nominatim,postal_code,"144001, India",string_similarity=0.37; token_overlap=0.18; city_match; postal_match; within_india_bounds
"District Office, D.O - HOSHIARPUR",D.O - HOSHIARPUR,Punjab & Himachal Pradesh,"District Office,Phagwara Road,, Opposite Govt. College Girls Hostel,Khera Complex,Central Town,, Hoshiarpur - 146001",Hoshiarpur,,146001,31.528781,75.904987,low,0.442,nominatim,postal_code,"146001, India",string_similarity=0.17; token_overlap=0.13; city_match; postal_match; within_india_bounds
"District Office, D.O - PHAGWARA",D.O - PHAGWARA,Punjab & Himachal Pradesh,"EPFO, District Office, BSNL building, Model Town,, G.T.Road, Phagwara., Phagwara - 144401",Phagwara,,144401,31.221133,75.786044,low,0.46,nominatim,postal_code,"144401, India",string_similarity=0.17; token_overlap=0.20; city_match; postal_match; within_india_bounds
"Regional Office, LUDHIANA",LUDHIANA,Punjab & Himachal Pradesh,"Bhavishaya Nidhi Bhawan, Regional Office,, Sham Nagar,Near General Bus Stand, (Punjab), Ludhiana - 141001",Ludhiana,,141001,30.909016,75.851601,low,0.502,nominatim,city_only,"Ludhiana, India",string_similarity=0.28; token_overlap=0.21; city_match; postal_match; within_india_bounds
"Regional Office, SHIMLA",SHIMLA,Punjab & Himachal Pradesh,"Bhavishyanidhi Bhawan, Block No. 34, 1st & 2nd Floor,, SDA Complex,, Kasumpati,(HP), Shimla - 171 009",Shimla - 171 009,,,31.101777,77.15101,very_low,0.195,nominatim,city_only,"Shimla - 171 009, India",string_similarity=0.27; token_overlap=0.08; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - PALAMPUR",D.O - PALAMPUR,Punjab & Himachal Pradesh,"Annant Vihar,, Near Atulay Resturant,, Palampur, Distt. Kangra ( HP ) - 176061","Palampur, Distt. Kangra ( Hp )",,176061,32.115901,76.537985,low,0.405,nominatim,postal_code,"176061, India",string_similarity=0.35; token_overlap=0.33; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - KULLU",D.O - KULLU,Punjab & Himachal Pradesh,"River Touch Complex,, Village Pirdi, Post Office Mohal,, Distt. Kullu ( HP ) - 175126",Distt. Kullu ( Hp ),,175126,31.892549,77.141066,very_low,0.325,nominatim,postal_code,"175126, India",string_similarity=0.23; token_overlap=0.18; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - BADDI",D.O - BADDI,Punjab & Himachal Pradesh,"District Office, Baddi, Plot No.- 6, DIC, Ground Floor, Telephone Exchange Building,, Baddi, Distt. Solan ( HP ) - 173205","Baddi, Distt. Solan ( Hp )",,173205,30.944659,76.807185,very_low,0.33,nominatim,postal_code,"173205, India",string_similarity=0.22; token_overlap=0.21; city_mismatch; postal_match; within_india_bounds
"District Office, D.O - NAHAN",D.O - NAHAN,Punjab & Himachal Pradesh,"House No. 170/6,, Opp. Mahima Library,Court Road,, Nahan, Distt. Sirmaur ( HP ) - 173001","Nahan, Distt. Sirmaur ( Hp )",,173001,30.551738,77.322552,very_low,0.382,nominatim,postal_code,"173001, India",string_similarity=0.34; token_overlap=0.25; city_mismatch; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, UTTAR PRADESH",UTTAR PRADESH,Uttar Pradesh & Bihar,"Office of the Addl. Central Provident Fund Commissioner, (Uttar Pradesh),, Nidhi Bhawan,Sarvodaya Nagar,, Kanpur - 208 005",Kanpur - 208 005,Uttar Pradesh,,26.460914,80.321759,very_low,0.369,nominatim,city_state,"Kanpur - 208 005, Uttar Pradesh, India",string_similarity=0.30; token_overlap=0.25; city_mismatch; state_match; postal_unavailable; within_india_bounds
"Regional Office, AGRA",AGRA,Uttar Pradesh & Bihar,"Bhavishyanidhi Bhawan, 55/2,, Sanjay Place, (UP), Agra - 282 002",Agra - 282 002,,,27.179826,78.020822,very_low,0.189,photon,city_only,"Agra - 282 002, India",string_similarity=0.23; token_overlap=0.11; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - ALIGARH",D.O - ALIGARH,Uttar Pradesh & Bihar,"EPFO, District Office,, Zilla Panchayat Parisar Collectorate Road,, ALIGARH - 202001",Aligarh,,202001,27.891825,78.081342,low,0.488,nominatim,postal_code,"202001, India",string_similarity=0.25; token_overlap=0.20; city_match; postal_match; within_india_bounds
"Regional Office, ALLAHABAD",ALLAHABAD,Uttar Pradesh & Bihar,"Employees' Provident Fund Organisation,United Tower,, 2nd & 3rd Floor,53, Leader Road,, Allahabad - 211003",Allahabad,,211003,25.4433194,81.8306228,high,1,google_maps,exact_place,"EPFO Regional Office, United Tower, Prayagraj",official_address_match; exact_place_match; within_india_bounds
"Regional Office, BAREILLY",BAREILLY,Uttar Pradesh & Bihar,"Regional Office, Bhavishya Nidhi Bhawan, 111, Civil Lines,, Bareilly, Uttar Pradesh - 243001","Bareilly, Uttar Pradesh",,243001,28.360142,79.422291,low,0.579,nominatim,postal_code,"243001, India",string_similarity=0.42; token_overlap=0.33; city_match; postal_match; within_india_bounds
"District Office, D.O - MORADABAD",D.O - MORADABAD,Uttar Pradesh & Bihar,"B1/441, Buddhi Vihar,, Behind Jawahar Motors,Delhi Road,, Moradabad, Uttar Pradesh, - 244001","Moradabad, Uttar Pradesh",,244001,28.849051,78.763388,medium,0.599,nominatim,postal_code,"244001, India",string_similarity=0.47; token_overlap=0.33; city_match; postal_match; within_india_bounds
"Regional Office, GORAKHPUR",GORAKHPUR,Uttar Pradesh & Bihar,"EPFO, Bhavishya Nidhi Bhavan,, Civil Lines, Labour Camp, Infornt of Carmel school,, Gorakhpur, Uttar Pradesh - 273009","Gorakhpur, Uttar Pradesh",,273009,26.758534,83.378795,low,0.538,nominatim,postal_code,"273009, India",string_similarity=0.35; token_overlap=0.27; city_match; postal_match; within_india_bounds
"Regional Office, KANPUR",KANPUR,Uttar Pradesh & Bihar,"Nidhi Bhawan,, Sarvodaya Nagar,, Kanpur - 208 005",Kanpur - 208 005,,,26.463707,80.246719,very_low,0.294,nominatim,city_only,"Kanpur - 208 005, India",string_similarity=0.41; token_overlap=0.29; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, LUCKNOW",LUCKNOW,Uttar Pradesh & Bihar,"BhavishyaNidhi Bhawan, Vibhuti Khand,, Gomti Nagar, (U.P), Lucknow - 226 010.",Lucknow - 226 010.,,,26.8381,80.9346,very_low,0.188,nominatim,city_only,"Lucknow - 226 010., India",string_similarity=0.23; token_overlap=0.11; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, GREATER NOIDA",GREATER NOIDA,Uttar Pradesh & Bihar,"Regional Office, GREATER NOIDA, A-2C, Sector 24, Noida - 201301",Noida,,201301,28.546392,77.387619,low,0.532,nominatim,postal_code,"201301, India",string_similarity=0.32; token_overlap=0.29; city_match; postal_match; within_india_bounds
"Regional Office, MEERUT",MEERUT,Uttar Pradesh & Bihar,"Nidhi Bhawan, Opp. Medical College,, Jagriti Vihar, Sector-5,, Meerut - 250006",Meerut,,250006,28.963497,77.741814,very_low,0.368,photon,postal_code,"250006, India",string_similarity=0.33; token_overlap=0.09; city_match; postal_missing; within_india_bounds
"District Office, D.O - SAHARANPUR",D.O - SAHARANPUR,Uttar Pradesh & Bihar,"Plot No. SBC-5,, State Bank Colony, In Front of Vikas Bhawan,, Saharanpur - 247001",Saharanpur,,247001,29.950482,77.542695,low,0.476,nominatim,postal_code,"247001, India",string_similarity=0.23; token_overlap=0.18; city_match; postal_match; within_india_bounds
"District Office, D.O - MUZAFFARNAGAR",D.O - MUZAFFARNAGAR,Uttar Pradesh & Bihar,"23-B, First Floor,, New Mandi,, Muzaffarnagar - 251001",Muzaffarnagar,,251001,29.47402,77.6966,low,0.551,nominatim,postal_code,"251001, India",string_similarity=0.37; token_overlap=0.29; city_match; postal_match; within_india_bounds
"Regional Office, NOIDA",NOIDA,Uttar Pradesh & Bihar,"A-2C,, Sector 24,, Noida - 201301",Noida,,201301,28.546392,77.387619,low,0.548,nominatim,postal_code,"201301, India",string_similarity=0.21; token_overlap=0.50; city_match; postal_match; within_india_bounds
"Regional Office, VARANASI",VARANASI,Uttar Pradesh & Bihar,"Bhavishya Nidhi Bhawan,Ashok Vihar, Phase-I,, Panch Kosi Road, Paharia,, Varanasi - 221 007",Varanasi - 221 007,,,25.335649,83.007629,very_low,0.219,nominatim,city_only,"Varanasi - 221 007, India",string_similarity=0.34; token_overlap=0.08; city_mismatch; postal_unavailable; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, KARNATAKA (OTHER THAN BENGALURU) & GOA (HUBLI)",KARNATAKA (OTHER THAN BENGALURU) & GOA (HUBLI),Karnataka & Goa,"Office of the Addl. Central Provident Fund Commissioner, Karnataka (Other than Bengaluru) & Goa), Bhavishya Nidhi Bhavan,, New Block No. 10, Navnagar, Hubli - 580025",Hubli,Karnataka,580025,15.351838,75.137985,low,0.451,nominatim,city_state,"Hubli, Karnataka, India",string_similarity=0.22; token_overlap=0.10; city_match; state_match; postal_missing; within_india_bounds
"Regional Office, BELLARY",BELLARY,Karnataka & Goa,"“Bhavishya Nidhi Bhawan” Survey. No. 872, 873 & 876,, Main Raod, 2nd Stage, Raghvendra Colony,, Bellary - 583 103",Bellary - 583 103,,,15.143022,76.917328,very_low,0.174,nominatim,city_only,"Bellary - 583 103, India",string_similarity=0.22; token_overlap=0.06; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, CHIKAMAGALUR",CHIKAMAGALUR,Karnataka & Goa,"Karnataka Housing Board (KHB) 5th Phase,, Behind Fire Station,, Chikmagalur - 577102",Chikmagalur,,577102,13.32231,75.774,very_low,0.372,open_meteo,city_only,"Chikmagalur, India",string_similarity=0.28; token_overlap=0.18; city_match; postal_missing; within_india_bounds
"District Office, D.O - HASSAN",D.O - HASSAN,Karnataka & Goa,"Shankar Mutt Road, Hassan - 573201",Hassan,,573201,13.009213,76.106156,medium,0.772,nominatim,full_address,"Shankar Mutt Road, Hassan - 573201",string_similarity=0.49; token_overlap=1.00; city_match; postal_match; within_india_bounds
"Regional Office, GULBARGA",GULBARGA,Karnataka & Goa,"Bhavishya Nidhi Bhawan,, Aland Road,, Gulbarga - 585 101",Gulbarga - 585 101,,,17.331,76.833423,very_low,0.2,nominatim,city_only,"Gulbarga - 585 101, India",string_similarity=0.34; token_overlap=0.00; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - BIDAR",D.O - BIDAR,Karnataka & Goa,"H.No. 8-10-34, Below Assistant Drug Controller Office, Shendre Layout, Near Rang Mandir, Bidar, - 585401",Bidar,,585401,17.914507,77.51581,low,0.482,nominatim,postal_code,"585401, India",string_similarity=0.28; token_overlap=0.13; city_match; postal_match; within_india_bounds
"District Office, D.O - BIJAPUR",D.O - BIJAPUR,Karnataka & Goa,"KARMIKA SAMUDAYA BHAVAN, GROUND FLOOR, SY.NO. 1294/1A/2,, SINDAGI ROAD/NAKA, ALLAPUR ONI,, Vijaypura - 586104",Vijaypura,,586104,27.477797,76.290457,very_low,0.304,photon,city_only,"Vijaypura, India",string_similarity=0.16; token_overlap=0.07; city_match; postal_missing; within_india_bounds
"Regional Office, HUBLI",HUBLI,Karnataka & Goa,"Bhavishya Nidhi Bhavan, New Block No. 10,, Behind Income Tax Office, Navanagar,, Hubli - 580025",Hubli,,580025,15.351838,75.137985,very_low,0.329,nominatim,city_only,"Hubli, India",string_similarity=0.23; token_overlap=0.08; city_match; postal_missing; within_india_bounds
"District Office, D.O - KARAWAR",D.O - KARAWAR,Karnataka & Goa,"1774/M1,, Kaiga road,, Habbuwada, Karwar - 581306","Habbuwada, Karwar",,581306,14.812093,74.131923,very_low,0.201,photon,city_only,"Habbuwada, Karwar, India",string_similarity=0.23; token_overlap=0.17; city_mismatch; postal_missing; within_india_bounds
"District Office, D.O - BELGAVI",D.O - BELGAVI,Karnataka & Goa,"No.52,""DADHIMATI"",1ST FLOOR,, OPP:SHIVAJI PARK,SHAHAPUR,, Belagavi - 590003",Belagavi,,590003,15.840937,74.522457,low,0.472,nominatim,postal_code,"590003, India",string_similarity=0.21; token_overlap=0.20; city_match; postal_match; within_india_bounds
"Regional Office, MANGALURU",MANGALURU,Karnataka & Goa,"Bhavishya Nidhi Bhawan,Post Box No.572,, Silva Road Highlands,, Mangaluru - 575 002",Mangaluru - 575 002,,,12.86981,74.843008,very_low,0.202,nominatim,city_only,"Mangaluru - 575 002, India",string_similarity=0.29; token_overlap=0.08; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, MYSORE",MYSORE,Karnataka & Goa,"Bhavishyanidhi Bhawan,No.109-128,, 2nd Stage, Gayathripuram, Mysore - 570 019",Mysore - 570 019,,,12.305291,76.653925,very_low,0.165,photon,city_only,"Mysore - 570 019, India",string_similarity=0.17; token_overlap=0.10; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - MANDYA",D.O - MANDYA,Karnataka & Goa,"EPFO,1705/C, 1st Floor,, Christian Colony, R.P.Road,, Mandya, Karnataka - 571401","Mandya, Karnataka",,571401,12.524537,76.884134,medium,0.581,nominatim,postal_code,"571401, India",string_similarity=0.44; token_overlap=0.30; city_match; postal_match; within_india_bounds
"District Office, D.O - MADIKERI",D.O - MADIKERI,Karnataka & Goa,"SBM TE Building, Ground Floor, Near Head Post Office, Madikeri, KARNATAKA - 571201",Karnataka,,571201,12.420174,75.729102,low,0.537,nominatim,postal_code,"571201, India",string_similarity=0.34; token_overlap=0.27; city_match; postal_match; within_india_bounds
"Regional Office, RAICHUR",RAICHUR,Karnataka & Goa,"Bhavishya Nidhi Bhawan,Sy No.16/3, Askihal,, OPP:University of Agricultural Sciences,, Raichur - 584104",Raichur,,584104,16.083333,77.166667,very_low,0.328,maps_co,city_only,"Raichur, India",string_similarity=0.22; token_overlap=0.08; city_match; postal_missing; within_india_bounds
"District Office, D.O - BAGALKOT",D.O - BAGALKOT,Karnataka & Goa,"District Office, Bagalkot, Room No.237, District Administration Building, Navanagar, BAGALKOT - 587103",Bagalkot,,587103,16.179322,75.699932,low,0.546,nominatim,city_only,"Bagalkot, India",string_similarity=0.40; token_overlap=0.22; city_match; postal_match; within_india_bounds
"Regional Office, SHIMOGA",SHIMOGA,Karnataka & Goa,"E-1(b), Atal Bihari Vajpayee Layout,, Malligenahalli,, Shivamogga - 577205",Shivamogga,,577205,13.928567,75.547926,low,0.491,nominatim,postal_code,"577205, India",string_similarity=0.22; token_overlap=0.25; city_match; postal_match; within_india_bounds
"District Office, D.O - DAVANGERE",D.O - DAVANGERE,Karnataka & Goa,"Sankalpa Complex,1st floor, 512/3,, 1st Main Rd., K.B Extension, Karnataka State, Davangere - 577002",Davangere,,577002,14.46693,75.92694,very_low,0.385,open_meteo,city_only,"Davangere, India",string_similarity=0.32; token_overlap=0.17; city_match; postal_missing; within_india_bounds
"Regional Office, UDUPI",UDUPI,Karnataka & Goa,"Tulunadu Towers, 2nd & 3rd Floor,, Court Road, (Karnataka), Udupi - 576101",Udupi,,576101,13.344286,74.746429,low,0.543,nominatim,postal_code,"576101, India",string_similarity=0.34; token_overlap=0.30; city_match; postal_match; within_india_bounds
"Regional Office, GOA",GOA,Karnataka & Goa,"Bhavishya Nidhi Bhawan, 24, Patto Plaza,, Panjim,, Goa - 403 001",Goa - 403 001,Goa,,15.498995,73.828214,very_low,0.34,nominatim,city_state,"Goa - 403 001, Goa, India",string_similarity=0.33; token_overlap=0.10; city_mismatch; state_match; postal_unavailable; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, CHENNAI & PUDUCHERRY (CHENNAI)",CHENNAI & PUDUCHERRY (CHENNAI),Chennai Zone,"Office of the Addl. Central Provident Fund Commissioner(Chennai & Puducherry),, No. 37, Royapettah High Road, Opposite Swagat Hotel, (TN)., Chennai - 600 014",Chennai - 600 014,,,13.051122,80.224758,very_low,0.172,nominatim,city_only,"Chennai - 600 014, India",string_similarity=0.22; token_overlap=0.06; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, AMBATTUR",AMBATTUR,Chennai Zone,"R-40, A-1, T.N.H.B Office-cum-Shopping Complex,, Mugappair East, Chennai, AMBATTUR - 600 037",Ambattur - 600 037,,,13.112303,80.14717,very_low,0.245,nominatim,city_only,"Ambattur - 600 037, India",string_similarity=0.35; token_overlap=0.17; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, CHENNAI (NORTH)",CHENNAI (NORTH),Chennai Zone,"No. 37, Royapettah High Road,, Opposite Swagat Hotel, (TN)., Chennai - 600 014",Chennai - 600 014,,,13.051122,80.224758,very_low,0.216,nominatim,city_only,"Chennai - 600 014, India",string_similarity=0.32; token_overlap=0.10; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, CHENNAI (SOUTH)",CHENNAI (SOUTH),Chennai Zone,"No. 37, Royapettah High Road,, Opposite Swagat Hotel, (TN)., Chennai - 600 014",Chennai - 600 014,,,13.051122,80.224758,very_low,0.216,nominatim,city_only,"Chennai - 600 014, India",string_similarity=0.32; token_overlap=0.10; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, PUDUCHERRY",PUDUCHERRY,Chennai Zone,"Sri Venni Commercial Complex, No. 101,, 100 Feet Road, Cholan Nagar, Olandai Keerapalayam,, Puducherry - 605 004",Puducherry - 605 004,Puducherry,,11.934057,79.830645,very_low,0.317,nominatim,city_state,"Puducherry - 605 004, Puducherry, India",string_similarity=0.29; token_overlap=0.07; city_mismatch; state_match; postal_unavailable; within_india_bounds
"Regional Office, SRIPERUMBUDUR",SRIPERUMBUDUR,Chennai Zone,"Regional Office : SRIPERUMBUDUR, 3, RAJAJI SALAI, WEST TAMBARAM, CHENNAI - 600045",Chennai,,600045,12.929697,80.116969,very_low,0.366,maps_co,postal_code,"600045, India",string_similarity=0.33; token_overlap=0.20; city_mismatch; postal_match; within_india_bounds
"Regional Office, TAMBARAM",TAMBARAM,Chennai Zone,"3, Rajaji Salai,, West Tambaram, CHENNAI - 600 045",Chennai - 600 045,,,13.083694,80.270186,very_low,0.203,nominatim,city_only,"Chennai - 600 045, India",string_similarity=0.26; token_overlap=0.12; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, THIRUVALLUR",THIRUVALLUR,Chennai Zone,"Regional Office, THIRUVALLUR, R-40, A-1, T.N.H.B Office-cum-Shopping Complex,, Mugappair East, Chennai - 600 037 - 600037","Mugappair East, Chennai",,600037,13.082965,80.173048,very_low,0.343,nominatim,postal_code,"600037, India",string_similarity=0.26; token_overlap=0.21; city_mismatch; postal_match; within_india_bounds
"Regional Office, VELLORE",VELLORE,Chennai Zone,"S-1, TNHB, Phase III,, Sathuvachari, Vellore - 632 009",Vellore - 632 009,,,12.935199,79.151559,very_low,0.338,nominatim,city_only,"Vellore - 632 009, India",string_similarity=0.56; token_overlap=0.25; city_mismatch; postal_unavailable; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, TAMIL NADU(EXCLUDING CHENNAI)",TAMIL NADU(EXCLUDING CHENNAI),Tamil Nadu,"P.B.No-3875,, Dr. Balasundaram Road,, Coimbatore - 641018.",Coimbatore,Tamil Nadu,641018,11.010808,76.980586,medium,0.683,nominatim,postal_code,"641018, India",string_similarity=0.32; token_overlap=0.40; city_match; state_match; postal_match; within_india_bounds
